filename,folder,type,width,height,bytes
"62-Apr 17 2025 06_29pm-TKg4.jpg","Cardinal/2025/3407 Shady Hill Dr - Baytown Multifamily",jpg,2040,1536,278319
"1-Apr 07 2025 12_35pm-gd1e.jpg","Cardinal/2025/3407 Shady Hill Dr - Baytown Multifamily",jpg,1920,1440,856870
"63-Apr 17 2025 06_29pm-sHc9.jpg","Cardinal/2025/3407 Shady Hill Dr - Baytown Multifamily",jpg,1536,2040,240674
"42-Apr 07 2025 12_57pm-rJsh.jpg","Cardinal/2025/3407 Shady Hill Dr - Baytown Multifamily",jpg,1920,1440,788548
"43-Apr 07 2025 12_57pm-71b3.jpg","Cardinal/2025/3407 Shady Hill Dr - Baytown Multifamily",jpg,1920,1440,846762
"24-Apr 07 2025 12_48pm-b4J5.jpg","Cardinal/2025/3407 Shady Hill Dr - Baytown Multifamily",jpg,1440,1920,637042
"88-Apr 22 2025 09_10am-95wX.jpg","Cardinal/2025/3407 Shady Hill Dr - Baytown Multifamily",jpg,1440,1920,945037
"16-Apr 07 2025 12_39pm-cdxE.jpg","Cardinal/2025/3407 Shady Hill Dr - Baytown Multifamily",jpg,1920,1440,949397
"22-Apr 07 2025 12_48pm-d7wj.jpg","Cardinal/2025/3407 Shady Hill Dr - Baytown Multifamily",jpg,1440,1920,650372
"92-Apr 22 2025 09_11am-NEu7.jpg","Cardinal/2025/3407 Shady Hill Dr - Baytown Multifamily",jpg,1440,1920,886562
"53-Apr 17 2025 06_29pm-LWMA.jpg","Cardinal/2025/3407 Shady Hill Dr - Baytown Multifamily",jpg,1536,2040,217658
"59-Apr 17 2025 06_29pm-qTmt.jpg","Cardinal/2025/3407 Shady Hill Dr - Baytown Multifamily",jpg,1536,2040,211553
"64-Apr 17 2025 06_29pm-8GqV.jpg","Cardinal/2025/3407 Shady Hill Dr - Baytown Multifamily",jpg,1536,2040,245998
